Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
SLM1042 #1,LB,0.01,1e-06,1e-05,2,5,24,22,240909090.90909088
SLM1042 #2,LB,0.01,1e-06,1e-05,1,4,30,35,318181818.1818181
SLM1042 #3,LB,0.01,1e-06,1e-05,4,9,24,20,259090909.09090903
DG011 #1,LB,0.01,1e-06,1e-05,5,1,28,24,263636363.6363636
DG011 #2,LB,0.01,1e-06,1e-05,1,3,28,23,250000000.0
DG011 #3,LB,0.01,1e-06,1e-05,3,0,24,29,254545454.5454545
DG027 #1,LB,0.01,1e-06,1e-05,2,2,27,25,254545454.5454545
DG027 #2,LB,0.01,1e-06,1e-05,4,1,22,26,240909090.90909088
DG027 #3,LB,0.01,1e-06,1e-05,5,2,22,25,245454545.4545454
DG028 #1,LB,0.01,1e-06,1e-05,4,5,26,32,304545454.5454545
DG028 #2,LB,0.01,1e-06,1e-05,10,6,30,22,309090909.09090906
DG028 #3,LB,0.01,1e-06,1e-05,3,10,38,39,409090909.090909
DG032 #1,LB,0.01,1e-06,1e-05,4,4,22,24,245454545.4545454
DG032 #2,LB,0.01,1e-06,1e-05,2,1,23,27,240909090.90909088
DG032 #3,LB,0.01,1e-06,1e-05,2,4,25,20,231818181.8181817
DG033 #1,LB,0.01,1e-06,1e-05,6,10,35,37,400000000.0
DG033 #2,LB,0.01,1e-06,1e-05,2,9,34,34,359090909.090909
DG033 #3,LB,0.01,1e-06,1e-05,7,11,39,43,454545454.5454544
SLM1042 #1,Kan,0.01,0.1,1.0,3,2,24,26,2499.9999999999995
SLM1042 #2,Kan,0.01,0.1,1.0,4,1,10,15,1363.6363636363635
SLM1042 #3,Kan,0.01,0.1,1.0,5,2,32,27,2999.9999999999995
DG011 #1,Kan,0.01,0.1,1.0,1,0,4,3,363.6363636363636
DG011 #2,Kan,0.01,0.1,1.0,1,0,3,0,181.8181818181818
DG011 #3,Kan,0.01,0.1,1.0,1,0,1,2,181.8181818181818
DG027 #1,Kan,0.01,0.1,1.0,1,1,22,14,1727.272727272727
DG027 #2,Kan,0.01,0.1,1.0,4,1,22,20,2136.363636363636
DG027 #3,Kan,0.01,0.1,1.0,8,8,70,57,6499.999999999999
DG028 #1,Kan,0.01,0.1,1.0,6,9,57,52,5636.363636363636
DG028 #2,Kan,0.01,0.1,1.0,3,1,16,12,1454.5454545454545
DG028 #3,Kan,0.01,0.1,1.0,4,4,24,18,2272.7272727272725
DG032 #1,Kan,0.01,0.1,1.0,2,0,8,14,1090.9090909090908
DG032 #2,Kan,0.01,0.1,1.0,0,0,7,9,727.2727272727273
DG032 #3,Kan,0.01,0.1,1.0,1,2,12,10,1136.3636363636365
DG033 #1,Kan,0.01,0.1,1.0,7,11,32,26,3454.545454545454
DG033 #2,Kan,0.01,0.1,1.0,8,11,48,49,5272.727272727272
DG033 #3,Kan,0.01,10e-2,10e-1,2,1,12,9,1090.9090909090908
