Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
SLM1042 #1,LB,0.01,1e-06,1e-05,2,5,24,22,240909090.9
SLM1042 #2,LB,0.01,1e-06,1e-05,1,4,30,35,318181818.2
SLM1042 #3,LB,0.01,1e-06,1e-05,4,9,24,20,259090909.1
DG011 #1,LB,0.01,1e-06,1e-05,5,1,28,24,263636363.6
DG011 #2,LB,0.01,1e-06,1e-05,1,3,28,23,250000000.0
DG011 #3,LB,0.01,1e-06,1e-05,3,0,24,29,254545454.5
DG027 #1,LB,0.01,1e-06,1e-05,2,2,27,25,254545454.5
DG027 #2,LB,0.01,1e-06,1e-05,4,1,22,26,240909090.9
DG027 #3,LB,0.01,1e-06,1e-05,5,2,22,25,245454545.5
DG028 #1,LB,0.01,1e-06,1e-05,4,5,26,32,304545454.5
DG028 #2,LB,0.01,1e-06,1e-05,10,6,30,22,309090909.1
DG028 #3,LB,0.01,1e-06,1e-05,3,10,38,39,409090909.1
DG032 #1,LB,0.01,1e-06,1e-05,4,4,22,24,245454545.5
DG032 #2,LB,0.01,1e-06,1e-05,2,1,23,27,240909090.9
DG032 #3,LB,0.01,1e-06,1e-05,2,4,25,20,231818181.8
DG033 #1,LB,0.01,1e-06,1e-05,6,10,35,37,400000000.0
DG033 #2,LB,0.01,1e-06,1e-05,2,9,34,34,359090909.1
DG033 #3,LB,0.01,1e-06,1e-05,7,11,39,43,454545454.5
SLM1042 #1,Kan,0.01,0.1,1.0,3,2,24,26,2500.0
SLM1042 #2,Kan,0.01,0.1,1.0,4,1,10,15,1363.636364
SLM1042 #3,Kan,0.01,0.1,1.0,5,2,32,27,3000.0
DG011 #1,Kan,0.01,0.1,1.0,1,0,4,3,363.6363636
DG011 #2,Kan,0.01,0.1,1.0,1,0,3,0,181.8181818
DG011 #3,Kan,0.01,0.1,1.0,1,0,1,2,181.8181818
DG027 #1,Kan,0.01,0.1,1.0,1,1,22,14,1727.272727
DG027 #2,Kan,0.01,0.1,1.0,4,1,22,20,2136.363636
DG027 #3,Kan,0.01,0.1,1.0,8,8,70,57,6500.0
DG028 #1,Kan,0.01,0.1,1.0,6,9,57,52,5636.363636
DG028 #2,Kan,0.01,0.1,1.0,3,1,16,12,1454.545455
DG028 #3,Kan,0.01,0.1,1.0,4,4,24,18,2272.727273
DG032 #1,Kan,0.01,0.1,1.0,2,0,8,14,1090.909091
DG032 #2,Kan,0.01,0.1,1.0,0,0,7,9,727.2727273
DG032 #3,Kan,0.01,0.1,1.0,1,2,12,10,1136.363636
DG033 #1,Kan,0.01,0.1,1.0,7,11,32,26,3454.545455
DG033 #2,Kan,0.01,0.1,1.0,8,11,48,49,5272.727273
DG033 #3,Kan,0.01,0.1,1.0,2,1,12,9,1090.909091
SLM1042 #1,LB,0.1,1e-05,0.0001,242,242,1230,1230,133818181.8
DG011 #2,LB,0.1,1e-05,0.0001,389,389,1375,1375,160363636.4
DG027 #2,LB,0.1,1e-05,0.0001,118,118,703,703,74636363.64
DG028 #3,LB,0.1,1e-05,0.0001,299,299,1360,1360,150818181.8181818
DG032 #1,LB,0.1,1e-05,0.0001,270,270,315,315,53181818.18181817
DG033 #1,LB,0.1,1e-05,0.0001,465,465,1160,1160,147727272.72727272
SLM1042 #1,Kan,0.1,0.1,1.0,29,29,1205,1205,11218.181818181816
DG011 #2,Kan,0.1,0.1,1.0,13,13,72,72,772.7272727272726
DG027 #2,Kan,0.1,0.1,1.0,40,40,234,234,2490.9090909090905
DG028 #3,Kan,0.1,0.1,1.0,24,24,192,192,1963.6363636363635
DG032 #1,Kan,0.1,0.1,1.0,12,12,86,86,890.9090909090908
DG033 #1,Kan,0.1,10e-2,10e-1,38,38,306,306,3127.272727272727
